pins OK. expected src hashes: install ccd5fc7dbc2035b6  restore 2052d5642163f62e
HEAD 693681d20783; frames -> /home/user/Demo/progress/records/fxartifact1
· waiting for capture lock (3267s, held by pid 4615)
· waiting for capture lock (3278s, held by pid 4615)
· waiting for capture lock (3288s, held by pid 4615)
· waiting for capture lock (3298s, held by pid 4615)
· waiting for capture lock (3308s, held by pid 4615)
· waiting for capture lock (3319s, held by pid 4615)
· waiting for capture lock (3330s, held by pid 4615)
· waiting for capture lock (3341s, held by pid 4615)
· waiting for capture lock (3351s, held by pid 4615)
· waiting for capture lock (3362s, held by pid 4615)
· waiting for capture lock (3373s, held by pid 4615)
· waiting for capture lock (3384s, held by pid 4615)
· waiting for capture lock (3394s, held by pid 4615)
· waiting for capture lock (3405s, held by pid 4615)
· waiting for capture lock (3415s, held by pid 4615)
· waiting for capture lock (3425s, held by pid 4615)
· waiting for capture lock (3435s, held by pid 4615)
· waiting for capture lock (3446s, held by pid 4615)
· waiting for capture lock (3457s, held by pid 4615)
· waiting for capture lock (3468s, held by pid 4615)
· waiting for capture lock (3478s, held by pid 4615)
· waiting for capture lock (3488s, held by pid 4615)
· waiting for capture lock (3499s, held by pid 4615)
· waiting for capture lock (3510s, held by pid 4615)
· waiting for capture lock (3520s, held by pid 4615)
· waiting for capture lock (3531s, held by pid 4615)
· waiting for capture lock (3541s, held by pid 4615)
· waiting for capture lock (3551s, held by pid 4615)
· waiting for capture lock (3561s, held by pid 4615)
· waiting for capture lock (3572s, held by pid 4615)
· waiting for capture lock (3582s, held by pid 4615)
· waiting for capture lock (3593s, held by pid 4615)
· waiting for capture lock (3603s, held by pid 4615)
· waiting for capture lock (3613s, held by pid 4615)
· waiting for capture lock (3624s, held by pid 4615)
· waiting for capture lock (3634s, held by pid 4615)
· waiting for capture lock (3644s, held by pid 4615)
· waiting for capture lock (3655s, held by pid 4615)
· waiting for capture lock (3665s, held by pid 4615)
· waiting for capture lock (3675s, held by pid 4615)
· waiting for capture lock (3686s, held by pid 4615)
· waiting for capture lock (3697s, held by pid 4615)
· waiting for capture lock (3708s, held by pid 4615)
· waiting for capture lock (3718s, held by pid 4615)
· waiting for capture lock (3729s, held by pid 4615)
· waiting for capture lock (3739s, held by pid 4615)
· waiting for capture lock (3749s, held by pid 4615)
· waiting for capture lock (3760s, held by pid 4615)
· waiting for capture lock (3771s, held by pid 4615)
· waiting for capture lock (3781s, held by pid 4615)
· waiting for capture lock (3791s, held by pid 4615)
· waiting for capture lock (3802s, held by pid 4615)
· waiting for capture lock (3813s, held by pid 4615)
· waiting for capture lock (3823s, held by pid 4615)
· waiting for capture lock (3834s, held by pid 4615)
· waiting for capture lock (3844s, held by pid 4615)
· waiting for capture lock (3855s, held by pid 4615)
· waiting for capture lock (3865s, held by pid 4615)
· waiting for capture lock (3876s, held by pid 4615)
· waiting for capture lock (3887s, held by pid 4615)
· waiting for capture lock (3898s, held by pid 4615)
· waiting for capture lock (3908s, held by pid 4615)
· waiting for capture lock (3919s, held by pid 4615)
· waiting for capture lock (3929s, held by pid 4615)
· waiting for capture lock (3940s, held by pid 4615)
· waiting for capture lock (3951s, held by pid 4615)
· waiting for capture lock (3962s, held by pid 4615)
· waiting for capture lock (3972s, held by pid 4615)
· waiting for capture lock (3982s, held by pid 4615)
· waiting for capture lock (3992s, held by pid 4615)
· waiting for capture lock (4003s, held by pid 4615)
· waiting for capture lock (4014s, held by pid 4615)
· waiting for capture lock (4024s, held by pid 4615)
· waiting for capture lock (4035s, held by pid 4615)
· waiting for capture lock (4046s, held by pid 4615)
· waiting for capture lock (4057s, held by pid 4615)
· waiting for capture lock (4068s, held by pid 4615)
· waiting for capture lock (4079s, held by pid 4615)
· waiting for capture lock (4089s, held by pid 4615)
· waiting for capture lock (4099s, held by pid 4615)
· waiting for capture lock (4110s, held by pid 4615)
· waiting for capture lock (4120s, held by pid 4615)
· waiting for capture lock (4131s, held by pid 4615)
· waiting for capture lock (4141s, held by pid 4615)
· waiting for capture lock (4152s, held by pid 4615)
· waiting for capture lock (4162s, held by pid 4615)
· waiting for capture lock (4173s, held by pid 4615)
· waiting for capture lock (4184s, held by pid 4615)
