BASE 926f0ee verified: src delta is exactly the three registered files.
HEAD f4056f4364af; frames -> /home/user/Demo/progress/records/torchlight1
· waiting for capture lock (3017s, held by pid 11696)
· waiting for capture lock (3028s, held by pid 11696)
· waiting for capture lock (3038s, held by pid 11696)
· waiting for capture lock (3049s, held by pid 11696)
· waiting for capture lock (3060s, held by pid 11696)
· waiting for capture lock (3070s, held by pid 11696)
· waiting for capture lock (3080s, held by pid 11696)
· waiting for capture lock (3090s, held by pid 11696)
· waiting for capture lock (3101s, held by pid 11696)
· waiting for capture lock (3111s, held by pid 11696)
· waiting for capture lock (3122s, held by pid 11696)
· waiting for capture lock (3132s, held by pid 11696)
· waiting for capture lock (3142s, held by pid 11696)
· waiting for capture lock (3152s, held by pid 11696)
· waiting for capture lock (3163s, held by pid 11696)
· waiting for capture lock (3174s, held by pid 11696)
· waiting for capture lock (3185s, held by pid 11696)
· waiting for capture lock (3195s, held by pid 11696)
· waiting for capture lock (3206s, held by pid 11696)
· waiting for capture lock (3217s, held by pid 11696)
· waiting for capture lock (3227s, held by pid 11696)
· waiting for capture lock (3238s, held by pid 11696)
· waiting for capture lock (3248s, held by pid 11696)
· waiting for capture lock (3259s, held by pid 11696)
· waiting for capture lock (3270s, held by pid 11696)
· waiting for capture lock (3281s, held by pid 11696)
· waiting for capture lock (3292s, held by pid 11696)
· waiting for capture lock (3302s, held by pid 11696)
· waiting for capture lock (3313s, held by pid 11696)
· waiting for capture lock (3323s, held by pid 11696)
· waiting for capture lock (3334s, held by pid 11696)
· waiting for capture lock (3344s, held by pid 11696)
· waiting for capture lock (3355s, held by pid 11696)
· waiting for capture lock (3366s, held by pid 11696)
· waiting for capture lock (3376s, held by pid 11696)
· waiting for capture lock (3387s, held by pid 11696)
· waiting for capture lock (3398s, held by pid 11696)
· waiting for capture lock (3408s, held by pid 11696)
· waiting for capture lock (3419s, held by pid 11696)
boot A  (base, 16 shots): BASE arm installed under the lock — src 677f577dff2a772a
BASE 926f0ee verified: src delta is exactly the three registered files.
expected src hashes: base 18a2e1e292b8ac2b  cand f9a77726b2a5ece0
HEAD 30a02bd20a77; frames -> /home/user/Demo/progress/records/torchlight1
· waiting for capture lock (11s, held by pid 25087)
· waiting for capture lock (21s, held by pid 25087)
· waiting for capture lock (31s, held by pid 25087)
· waiting for capture lock (42s, held by pid 25087)
· waiting for capture lock (53s, held by pid 25087)
· waiting for capture lock (64s, held by pid 25087)
· waiting for capture lock (74s, held by pid 25087)
· waiting for capture lock (85s, held by pid 25087)
· waiting for capture lock (95s, held by pid 25087)
· waiting for capture lock (106s, held by pid 25087)
· waiting for capture lock (116s, held by pid 25087)
· waiting for capture lock (127s, held by pid 25087)
· waiting for capture lock (137s, held by pid 25087)
· waiting for capture lock (147s, held by pid 25087)
· waiting for capture lock (158s, held by pid 25087)
· waiting for capture lock (168s, held by pid 25087)
· waiting for capture lock (178s, held by pid 25087)
· waiting for capture lock (189s, held by pid 25087)
· waiting for capture lock (199s, held by pid 25087)
· waiting for capture lock (209s, held by pid 25087)
· waiting for capture lock (220s, held by pid 25087)
· waiting for capture lock (230s, held by pid 25087)
· waiting for capture lock (240s, held by pid 25087)
· waiting for capture lock (251s, held by pid 25087)
· waiting for capture lock (262s, held by pid 25087)
· waiting for capture lock (272s, held by pid 25087)
· waiting for capture lock (283s, held by pid 25087)
· waiting for capture lock (294s, held by pid 25087)
· waiting for capture lock (304s, held by pid 25087)
· waiting for capture lock (315s, held by pid 25087)
· waiting for capture lock (325s, held by pid 25087)
· waiting for capture lock (336s, held by pid 25087)
· waiting for capture lock (347s, held by pid 25087)
· waiting for capture lock (358s, held by pid 25087)
· waiting for capture lock (368s, held by pid 25087)
· waiting for capture lock (379s, held by pid 25087)
· waiting for capture lock (389s, held by pid 25087)
· waiting for capture lock (399s, held by pid 25087)
· waiting for capture lock (410s, held by pid 25087)
· waiting for capture lock (421s, held by pid 25087)
· waiting for capture lock (431s, held by pid 25087)
· waiting for capture lock (442s, held by pid 25087)
· waiting for capture lock (452s, held by pid 25087)
· waiting for capture lock (463s, held by pid 25087)
· waiting for capture lock (474s, held by pid 25087)
· waiting for capture lock (484s, held by pid 25087)
· waiting for capture lock (494s, held by pid 25087)
· waiting for capture lock (505s, held by pid 25087)
· waiting for capture lock (516s, held by pid 25087)
· waiting for capture lock (526s, held by pid 25087)
· waiting for capture lock (537s, held by pid 25087)
· waiting for capture lock (548s, held by pid 25087)
· waiting for capture lock (558s, held by pid 25087)
· waiting for capture lock (569s, held by pid 25087)
· waiting for capture lock (579s, held by pid 25087)
· waiting for capture lock (590s, held by pid 25087)
· waiting for capture lock (600s, held by pid 25087)
· waiting for capture lock (611s, held by pid 25087)
· waiting for capture lock (622s, held by pid 25087)
· waiting for capture lock (633s, held by pid 25087)
· waiting for capture lock (644s, held by pid 25087)
· waiting for capture lock (654s, held by pid 25087)
· waiting for capture lock (665s, held by pid 25087)
· waiting for capture lock (676s, held by pid 25087)
· waiting for capture lock (686s, held by pid 25087)
· waiting for capture lock (697s, held by pid 25087)
· waiting for capture lock (707s, held by pid 25087)
· waiting for capture lock (718s, held by pid 25087)
· waiting for capture lock (729s, held by pid 25087)
· waiting for capture lock (739s, held by pid 25087)
· waiting for capture lock (750s, held by pid 25087)
· waiting for capture lock (760s, held by pid 25087)
· waiting for capture lock (771s, held by pid 25087)
· waiting for capture lock (781s, held by pid 25087)
· waiting for capture lock (792s, held by pid 25087)
· waiting for capture lock (802s, held by pid 25087)
· waiting for capture lock (813s, held by pid 25087)
· waiting for capture lock (823s, held by pid 25087)
· waiting for capture lock (834s, held by pid 25087)
· waiting for capture lock (845s, held by pid 25087)
· waiting for capture lock (855s, held by pid 25087)
· waiting for capture lock (866s, held by pid 25087)
· waiting for capture lock (877s, held by pid 25087)
· waiting for capture lock (887s, held by pid 25087)
· waiting for capture lock (898s, held by pid 25087)
· waiting for capture lock (908s, held by pid 25087)
· waiting for capture lock (919s, held by pid 25087)
· waiting for capture lock (929s, held by pid 25087)
· waiting for capture lock (939s, held by pid 25087)
· waiting for capture lock (950s, held by pid 25087)
· waiting for capture lock (961s, held by pid 25087)
· waiting for capture lock (971s, held by pid 25087)
· waiting for capture lock (982s, held by pid 25087)
· waiting for capture lock (993s, held by pid 25087)
· waiting for capture lock (1004s, held by pid 25087)
· waiting for capture lock (1014s, held by pid 25087)
· waiting for capture lock (1025s, held by pid 25087)
· waiting for capture lock (1035s, held by pid 25087)
· waiting for capture lock (1046s, held by pid 25087)
· waiting for capture lock (1056s, held by pid 25087)
· waiting for capture lock (1067s, held by pid 25087)
· waiting for capture lock (1078s, held by pid 25087)
· waiting for capture lock (1088s, held by pid 25087)
· waiting for capture lock (1098s, held by pid 25087)
· waiting for capture lock (1108s, held by pid 25087)
· waiting for capture lock (1118s, held by pid 25087)
· waiting for capture lock (1128s, held by pid 25087)
· waiting for capture lock (1139s, held by pid 25087)
· waiting for capture lock (1150s, held by pid 25087)
· waiting for capture lock (1160s, held by pid 25087)
· waiting for capture lock (1171s, held by pid 25087)
· waiting for capture lock (1181s, held by pid 25087)
· waiting for capture lock (1192s, held by pid 25087)
· waiting for capture lock (1203s, held by pid 25087)
· waiting for capture lock (1213s, held by pid 25087)
· waiting for capture lock (1223s, held by pid 25087)
· waiting for capture lock (1234s, held by pid 30311)
· waiting for capture lock (1245s, held by pid 30311)
· waiting for capture lock (1256s, held by pid 30311)
· waiting for capture lock (1266s, held by pid 30311)
· waiting for capture lock (1276s, held by pid 30311)
· waiting for capture lock (1287s, held by pid 30311)
· waiting for capture lock (1298s, held by pid 30311)
· waiting for capture lock (1308s, held by pid 30311)
· waiting for capture lock (1319s, held by pid 30311)
· waiting for capture lock (1330s, held by pid 30311)
· waiting for capture lock (1340s, held by pid 30311)
· waiting for capture lock (1351s, held by pid 30311)
· waiting for capture lock (1361s, held by pid 30311)
· waiting for capture lock (1371s, held by pid 30311)
· waiting for capture lock (1382s, held by pid 30311)
· waiting for capture lock (1392s, held by pid 30311)
· waiting for capture lock (1403s, held by pid 30311)
· waiting for capture lock (1414s, held by pid 30311)
· waiting for capture lock (1424s, held by pid 30311)
