# UNCONFIRMED HYPOTHESES — NOT A RANKING. Generated by the collision-vs-art census.
# Each row is a cell where the drawn art and the capsule-swept collision world disagree.
# NONE of these rows has been driven. A row is a claim about what an agent can do and only
# moving an agent settles it; three sibling rows were driven and their verdicts are in the
# round report. Do not act on a row here without driving it first.
# Probe: capsuleSweep (capsule 1.80 x 0.34) vs binned art triangles at y+0.3/0.9/1.5,
# reach 1.2 m, triviality floor 0.02 m. Vertical probes from y=300.
kind	agent	cells	cx	cz	y	depth_m	art_entry_m	art_exit_m	collision_dist_m	art_mesh	route	dir_x	dir_z
INVISIBLE	player	4	3.75	-76.75	3.82	1.2	-1	-1	0			1	0
INVISIBLE	player	1	3	-63	0.94	1.19	-1	-1	0.01			1	0
INVISIBLE	player	9	3.89	18.22	2	1.14	-1	-1	0.06			-1	0
INVISIBLE	player	1	4	-72	3.58	1.2	-1	-1	0			0	-1
INVISIBLE	player	1	4	-64	1.04	1.2	-1	-1	0			0	1
INVISIBLE	player	4	5.5	-57	0.04	1.11	2.13	2.13	0.09	sand_ring1		0	-1
INVISIBLE	player	1	5	-69	2.55	1.19	-1	-1	0.01			1	0
THROUGH-ART	player	8	6.5	20.75	0	1.67	0.2	1.87	1.2	arch:court:sandstone_worn		1	0
THROUGH-ART	player+guard	3	5.33	28.67	0	0.14	0.44	0.59	1.2	arch:court:hieroglyph_gilded	courtyard_ring	0	1
INVISIBLE	player	1	6	-78	4.13	1.2	-1	-1	0			1	0
INVISIBLE	player	1	6	-76	4.05	1.2	-1	-1	0			0	-1
INVISIBLE	player	5	8	-72	3.9	1.2	-1	-1	0			1	0
INVISIBLE	player	1	6	-70	3	1.19	-1	-1	0.01			1	0
THROUGH-ART	player	1	6	-49	26	0.7	0.65	1.35	1.2	arch:pylon:gold_leaf		0	-1
INVISIBLE	player	43	9.58	24.81	7.92	1.2	-1	-1	0			1	0
INVISIBLE	player	12	8	-64.5	1.09	1.2	-1	-1	0			1	0
INVISIBLE	player+guard	12	8.5	-13	0.78	0.98	-1	-1	0.22		courtyard_ring	1	0
INVISIBLE	player	3	8.67	-76.33	4.24	1.2	-1	-1	0			1	0
INVISIBLE	player	5	9.4	-56.2	0.13	1.19	-1	-1	0.01			-1	0
THROUGH-ART	player	1	8	-53	33.8	1.65	0.19	1.84	1.2	arch:pylon:hieroglyph_gilded		1	0
THROUGH-ART	player	4	8.5	-50.5	33.8	1.65	0.19	1.84	1.2	arch:pylon:hieroglyph_gilded		1	0
INVISIBLE	player+guard	11	8	11	2	0.14	1.44	1.44	1.06	arch:court:sandstone_block	obelisk_watch	-1	0
INVISIBLE	player	3	9.33	-48.67	18.98	1.19	-1	-1	0.01			-1	0
THROUGH-ART	player	2	9	-47.5	25.53	1.51	0.07	1.58	1.2	arch:pylon:hieroglyph_gilded		0	-1
THROUGH-ART	player	4	10	2.25	0	1.87	0.45	2.32	1.2	arch:court:sandstone_worn		1	0
THROUGH-ART	player+guard	1	9	29	0	0.96	1.1	2.07	1.2	arch:court:sandstone_worn	courtyard_ring	0	1
INVISIBLE	player	3	9	34	18.12	0.1	1.22	1.96	1.1	arch:court:sandstone_worn		1	0
INVISIBLE	player	1	10	-78	4.52	1.2	-1	-1	0			1	0
INVISIBLE	player	1	10	-66	1.51	1.14	-1	-1	0.06			1	0
INVISIBLE	player	125	20.02	-41.54	15.29	1.19	1.29	1.29	0.01	arch:hall:sandstone_block		0	1
INVISIBLE	player	39	19.28	9.62	8.93	1.2	-1	-1	0			1	0
INVISIBLE	player	1	10	20	3.1	0.94	-1	-1	0.26			0	-1
THROUGH-ART	player	3	10.33	32.33	28.56	0.62	0.69	1.31	1.2	arch:court:hieroglyph_gilded		0	1
INVISIBLE	player	27	17.85	32.63	28.4	1.2	1.69	2.31	0	arch:court:hieroglyph_gilded		0	1
INVISIBLE	player	7	12.43	-76.57	4.67	1.2	-1	-1	0			1	0
INVISIBLE	player	1	11	-67	1.89	1.15	-1	-1	0.05			1	0
